สรุปสถานะงบประมาณ รพ.รัฐ — Pipeline ทั้งหมด,,,,,,,,,,
budget level 1 = มีงบปี 69 รอประมูล (ระบุเดือน)  |  budget level  2 = อยู่ในแผนงบประมาณจริงแล้ว (ระบุปี)  |  budget level  3 = ตั้งเป้า Push เข้าแผนงบปี... |  budget level  4 = มีความต้องการ ยังไม่วางแผน  |  budget level 5 = จัดหาด่วน/จัดซื้อได้เลย,,,,,,,,,,
#,โรงพยาบาล,กลุ่ม,,ยอดโครงการ (บาท),ระบบ / ความต้องการ /Product Group,budget level,ปีงบ,sale stage,รายละเอียด,หมายเหตุ
🔵 กลุ่มกองทัพบก (กรมแพทย์ทหารบก),,,,,,,,,,
,รพ.ค่ายประจักษ์ศิลปาคม,ทหารบก,อุดรธานี," 12,000,000.00 ",MediCore,1 (E-Bid),2569,S0: Target Identified,***เปลี่ยน ผอ. ใหม่ ,ติดตามเพื่อขอนำเสนองาน
,รพ.ค่ายธนรัตน์ ,ทหารบก,ประจวบคีรีขันธ์," 4,888,000.00 ",MediCore,1 (E-Bid),2569,S7_WON: Closed Won,,Work In Process
,รพ.ค่ายศรีสองรัก ,ทหารบก,เลย," 2,000,000.00 ",MediCore,1 (E-Bid),2569,S4: TOR Drafting/Proposal,,ทำเอกสาร คฉ เพื่อขออนุมัติให้งบ 
,รพ.ค่ายสุรศักดิมนตรี ,ทหารบก,ลำปาง," 5,000,000.00 ",MediCore,1 (E-Bid),2569,S4: TOR Drafting/Proposal,,ทำเอกสาร คฉ เพื่อขออนุมัติให้งบ 
,รพ.ค่ายเทพสตรีศรีสุนทร,ทหารบก,นครศรีธรรมราช," 2,000,000.00 ",MediCore,1 (E-Bid),2570,S1: Initial Meeting,,ติดตามเพื่อขอนำเสนองาน
,,,,,,,,,,
🟢 กลุ่ม รพ.รัฐ (ที่เสนองานไว้ก่อนหน้า),,,,,,,,,,
3,รพ.มหาวิทยาลัยพะเยา,รพ.รัฐ,,"300,000",MediQ — คิวอัตโนมัติ,1,2569,S7_WON: Closed Won,กำลังตรวจสอบ TOR จัดซื้อภายในต้นเดือน ธ.ค. 2568 จัดทำใบเสนอราคาคู่เทียบ ส่งมอบใน 30 วัน,Work In Process
4,รพ.มะเร็งลพบุรี,รพ.รัฐ,,"3,900,000",MediQ — คิวอัตโนมัติ,1 (E-Bid),2569,S5: Waiting Procurement,รอหน่วยงาน ประมูล / E-Bidding,รอ e-bidding
8,ศูนย์การแพทย์กาญจนาภิเษก ม.มหิดล,รพ.รัฐ,,"250,000",MediQ — การแจ้งเตือน,1,2569,S4: TOR Drafting/Proposal,present 2 ครั้ง ส่ง tor ล่าสุดให้แล้ว ,ติดตามผล ที่ส่ง  TOR ไป
16,รพ.จุฬาภรณ์ (ระบบคิว),รพ.รัฐ,,-,MediQ — คิวอัตโนมัติ,1,2569,S2: Requirement,present 2 ครั้ง ,ลูกค้า ขอ demo trial ระบบ
21,รพ.ราชเวช (เหนือ),รพ.เอกชน,,"250,000",MediQ — คิวอัตโนมัติ,4,,S2: Requirement,รอนัดหมายติดตั้ง Demo,ลูกค้า ขอ demo trial ระบบ
5,อบจ.สระบุรี,รพ.รัฐ,,"9,000,000",ระบบงานระบาดวิทยา ,4,2570,S4: TOR Drafting/Proposal,เสนอ propersal ทางลูกค้ากำลังนำเสนอ เพื่อของบ อบจ .,เลือกเราแล้ว รออนุมัติ 10%
7,ม.สวนดุสิต,รพ.รัฐ,,"150,000",MediQ — คิวอัตโนมัติ,2,,S0: Target Identified,ยังไม่ทราบงบ / เริ่มต้น Lead,เริ่มต้น Lead 0%
10,รพ.อ่างทอง,รพ.รัฐ,,-,MediQ — คิวอัตโนมัติ,4,2570,S0: Target Identified,นัด Present / นำเสนอเพิ่มเติม,นัด Present 20%
12,รพ.สันทราย,รพ.รัฐ,,-,MediCore,4,2569,S1: Initial Meeting,งบประมาณ / ร่างสัญญาพัฒนาร่วมกัน,งบประมาณ/ร่างสัญญา
13,รพ.สวรรค์ประชารักษ์,รพ.รัฐ,,-,MediQ — การนัดหมาย,4,,S1: Initial Meeting,present  1 ครั้ง แล้ว ,นัด Present 20%
14,รพ.ชัยนาทนเรนทร,รพ.รัฐ,,-,MediQ — คิวอัตโนมัติ,4,,S0: Target Identified,นัด Present / นำเสนอเพิ่มเติม,นัด Present 20%
15,รพ.กำแพงเพชร,รพ.รัฐ,,-,MediQ — คิวอัตโนมัติ,4,,S1: Initial Meeting,present  1 ครั้ง,นัด Present 20%
17,ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน ม.ศรีนครินทร์,รพ.รัฐ,,-,MediQ — คิวอัตโนมัติ,4,,S1: Initial Meeting,present  1 ครั้ง แล้ว ,ติดตามผล
19,รพ.บางปะกง,รพ.รัฐ,,-,MediQ — คิวอัตโนมัติ,4,,S0: Target Identified,นัดหมายเข้านำเสนอ,นัดหมายเข้านำเสนอ
20,รพ.ทันตกรรม มช.,รพ.รัฐ,,-,ระบบ HIS,4,,S0: Target Identified,นัดหมายเข้านำเสนอ,นัดหมายเข้านำเสนอ
6,รพ.มะเร็งชลบุรี,รพ.รัฐ,ชลบุรี,"4,500,000",MediQ — คิวอัตโนมัติ,4,,S0: Target Identified,ตั้งเป้า Push เข้าแผนงบปี 70,เริ่มต้น Lead 0%
18,สถาบันเด็กแห่งชาติมหาราชินี,รพ.รัฐ,กรุงเทพ,-,MediCore,4,,S0: Target Identified,นัดรอนำเสนอ,นัดรอนำเสนอ
,โรงพยาบาลโอเวอร์บรุ๊ค,รพ.เอกชน,เชียงราย,,MediQ — คิวอัตโนมัติ,1,2569,S3: Demo/Workshop,present 2 ครั้ง ,กำลัง demo trial ระบบ
,รพ.เมตตาประชารักษ์,รพ.รัฐ,,,MediQ — Platform,4,,S1: Initial Meeting,present  1 ครั้ง แล้ว ,ให้ทำตัว บทสรุปผู้บริการส่งไปนำเสนอผู้บริหาร
